CP3,C3,F5,PO3,PO4,F6,C4,CP4
19281.328125,19288.369140625,19272.341796875,19254.974609375,19246.19140625,19268.7890625,19271.939453125,19263.826171875
19282.802734375,19282.1328125,19267.71484375,19260.80859375,19262.8203125,19269.59375,19283.673828125,19276.56640625
-388.78619384765625,-390.46258544921875,-405.4158935546875,-416.4800109863281,-407.62872314453125,-403.940673828125,-432.64031982421875,-431.36627197265625
-407.02520751953125,-395.2235107421875,-400.7890930175781,-405.4158935546875,-410.0426940917969,-397.90570068359375,-384.56170654296875,-389.6579284667969
-13876.3408203125,-13622.0009765625,-13570.099609375,-13721.98046875,-13692.0732421875,-13636.283203125,-13747.39453125,-13893.6416015625
-13852.73828125,-13758.4580078125,-13779.916015625,-13903.7001953125,-13959.6240234375,-13853.408203125,-13785.4814453125,-13904.83984375
10818.7568359375,10816.0751953125,10802.328125,10794.2822265625,10784.08984375,10799.1103515625,10804.2060546875,10802.328125
10823.048828125,10819.9638671875,10807.4921875,10809.16796875,10811.984375,10818.82421875,10831.162109375,10826.669921875
-903.0997924804688,-929.6536254882812,-958.8226928710938,-984.5718994140625,-936.3591918945312,-923.41748046875,-994.7642822265625,-1011.7963256835938
-977.59814453125,-966.2658081054688,-969.551513671875,-950.9772338867188,-978.8051147460938,-939.1754760742188,-927.7090454101562,-977.19580078125
18422.953125,18451.453125,18444.142578125,18427.71484375,18405.453125,18423.154296875,18420.80859375,18417.455078125
18436.296875,18431.470703125,18413.767578125,18421.6796875,18434.419921875,18429.056640625,18444.412109375,18450.513671875
24254.880859375,24256.958984375,24243.34765625,24228.52734375,24211.697265625,24220.28125,24215.453125,24216.2578125
24235.099609375,24225.30859375,24209.953125,24219.609375,24231.478515625,24230.740234375,24239.056640625,24235.501953125
23577.82421875,23584.26171875,23570.849609375,23559.384765625,23547.984375,23560.45703125,23556.76953125,23559.451171875
23583.591796875,23581.51171875,23563.474609375,23568.97265625,23580.439453125,23582.115234375,23593.984375,23589.89453125
19261.814453125,19273.416015625,19275.560546875,19269.525390625,19260.205078125,19268.720703125,19275.2265625,19277.7734375
19266.91015625,19260.943359375,19273.146484375,19263.021484375,19254.103515625,19248.068359375,19262.88671875,19257.1875
-401.05731201171875,-368.1331787109375,-381.2089538574219,-397.90570068359375,-392.4742431640625,-396.3634338378906,-395.69287109375,-404.7453308105469
-407.4945983886719,-414.1330871582031,-412.1214294433594,-404.47711181640625,-414.6024475097656,-439.6140441894531,-419.69866943359375,-404.0077209472656
-14003.2099609375,-13937.16015625,-13911.2099609375,-13998.046875,-14038.9501953125,-13988.79296875,-13969.212890625,-14021.716796875
-14105,-14089.8447265625,-14005.2880859375,-14036.603515625,-14178.5595703125,-14230.19140625,-14135.30859375,-14083.005859375
10823.048828125,10832.8388671875,10828.345703125,10824.322265625,10825.462890625,10831.966796875,10826.87109375,10831.8330078125
10831.69921875,10834.6494140625,10847.92578125,10836.59375,10832.16796875,10827.0048828125,10835.3193359375,10826.06640625
-1002.9450073242188,-952.653564453125,-989.3328247070312,-1011.930419921875,-970.5573120117188,-992.484375,-1005.627197265625,-1031.37646484375
-1049.0789794921875,-1031.2423095703125,-1030.37060546875,-1035.5338134765625,-1053.906982421875,-1082.8748779296875,-1035.9361572265625,-961.3707885742188
18449.44140625,18459.365234375,18449.10546875,18442.734375,18441.52734375,18458.626953125,18448.837890625,18454.671875
18465.935546875,18472.708984375,18475.994140625,18464.595703125,18468.751953125,18469.958984375,18475.591796875,18463.119140625
24230.607421875,24235.904296875,24222.828125,24216.056640625,24215.251953125,24221.0859375,24206.33203125,24205.39453125
24212.166015625,24216.927734375,24220.75,24204.388671875,24201.974609375,24197.68359375,24199.76171875,24189.3671875
23585.736328125,23595.861328125,23586.33984375,23582.853515625,23583.591796875,23595.326171875,23587.615234375,23592.912109375
23594.923828125,23602.701171875,23610.94921875,23595.99609375,23593.783203125,23590.900390625,23595.99609375,23591.369140625
19261.6796875,19264.228515625,19268.720703125,19278.578125,19291.38671875,19276.09765625,19265.97265625,19262.88671875
19257.857421875,19262.3515625,19268.453125,19269.2578125,19274.15234375,19277.103515625,19261.546875,19265.703125
-417.5528869628906,-428.41583251953125,-428.21466064453125,-400.3197021484375,-387.847412109375,-406.4217224121094,-429.6228332519531,-431.2992248535156
-421.0397644042969,-435.2554626464844,-438.4070739746094,-426.5382995605469,-436.9318542480469,-418.0893249511719,-409.97564697265625,-405.6170654296875
-14178.4248046875,-14274.984375,-14189.623046875,-14099.0986328125,-14097.958984375,-14186.0693359375,-14159.716796875,-14091.119140625
-14115.1923828125,-14217.1162109375,-14206.521484375,-14125.65234375,-14094.4716796875,-14174.7373046875,-14247.759765625,-14150.462890625
10840.7509765625,10848.529296875,10840.0810546875,10839.8798828125,10857.4482421875,10850.138671875,10833.6435546875,10821.9091796875
10818.8916015625,10829.552734375,10837.4658203125,10829.6875,10828.345703125,10838.1357421875,10829.28515625,10826.06640625
-989.1316528320312,-1002.6097412109375,-1028.15771484375,-1018.77001953125,-1025.8779296875,-1036.47265625,-1094.475341796875,-1109.3616943359375
-1066.5133056640625,-1106.5452880859375,-1088.9097900390625,-1038.0819091796875,-1077.5103759765625,-1089.3121337890625,-1063.9652099609375,-1068.0556640625
18473.71484375,18483.169921875,18472.10546875,18481.224609375,18511.869140625,18505.900390625,18492.958984375,18484.578125
18469.7578125,18475.7265625,18489.740234375,18475.994140625,18475.66015625,18490.142578125,18483.302734375,18474.05078125
24201.103515625,24209.484375,24197.81640625,24195.26953125,24213.10546875,24202.98046875,24183.400390625,24167.10546875
24157.181640625,24163.88671875,24171.263671875,24160.064453125,24160.19921875,24169.05078125,24157.71875,24149.201171875
23603.841796875,23614.234375,23611.619140625,23616.58203125,23638.0390625,23629.859375,23615.107421875,23601.29296875
23595.125,23608.267578125,23620.404296875,23614.90625,23616.91796875,23624.830078125,23613.69921875,23608.333984375
19277.439453125,19269.927734375,19256.853515625,19269.59375,19283.7421875,19285.283203125,19274.82421875,19256.853515625
19252.427734375,19264.02734375,19268.85546875,19265.369140625,19278.646484375,19284.94921875,19263.892578125,19249.275390625
-400.990234375,-408.6345520019531,-414.8036193847656,-404.47711181640625,-387.9815368652344,-394.1506042480469,-393.4129943847656,-415.67535400390625
-417.28466796875,-408.0981140136719,-404.4100646972656,-423.4537353515625,-401.05731201171875,-377.31976318359375,-396.09521484375,-417.1505432128906
-14055.78125,-14120.7578125,-14220.5361328125,-14139.935546875,-14023.52734375,-14052.2939453125,-14192.5068359375,-14212.7578125
-14105,-14071.6064453125,-14094.8740234375,-14055.5126953125,-13979.740234375,-13938.76953125,-14021.650390625,-14091.3203125
10836.3251953125,10830.9609375,10822.7802734375,10832.8388671875,10842.4951171875,10847.724609375,10850.943359375,10826.1328125
10809.50390625,10818.7568359375,10830.15625,10823.451171875,10831.6318359375,10833.6435546875,10817.0810546875,10809.369140625
-1069.6649169921875,-1084.081787109375,-1085.4229736328125,-1077.64453125,-1049.54833984375,-1087.8369140625,-1070.4696044921875,-1084.75244140625
-1096.6212158203125,-1095.0118408203125,-1078.1138916015625,-1122.8397216796875,-1070.8719482421875,-1036.807861328125,-1093.6036376953125,-1142.0845947265625
18479.681640625,18486.388671875,18483.705078125,18491.685546875,18506.50390625,18519.111328125,18520.384765625,18498.255859375
18480.755859375,18490.478515625,18514.685546875,18525.615234375,18530.2421875,18523.06640625,18507.779296875,18512.875
24156.2421875,24156.2421875,24150.275390625,24157.115234375,24161.00390625,24163.953125,24166.501953125,24142.49609375
24122.71484375,24127.4765625,24146.05078125,24148.46484375,24148.1953125,24142.09375,24126.40234375,24127.07421875
23621.07421875,23622.953125,23618.2578125,23631.333984375,23638.240234375,23644.07421875,23644.34375,23619.130859375
23600.82421875,23608.40234375,23627.4453125,23633.681640625,23640.251953125,23636.296875,23620.94140625,23620.5390625
19259.66796875,19269.66015625,19270.12890625,19267.044921875,19278.04296875,19279.44921875,19277.908203125,19271.537109375
19273.34765625,19284.2109375,19281.126953125,19264.4296875,19270.599609375,19279.583984375,19275.896484375,19274.0859375
-395.0893859863281,-372.89410400390625,-378.9290771484375,-358.4101867675781,-357.4714050292969,-366.0544738769531,-372.69293212890625,-373.2293701171875
-363.8416442871094,-364.4451599121094,-384.2934875488281,-384.3605651855469,-386.43927001953125,-388.3838806152344,-394.0165100097656,-390.8648986816406
-14028.154296875,-13980.27734375,-14035.396484375,-14090.0458984375,-14031.1044921875,-13919.2568359375,-13931.326171875,-14027.6845703125
-14002.94140625,-13911.74609375,-13908.1923828125,-14000.52734375,-14012.3291015625,-13915.568359375,-13857.3642578125,-13904.7060546875
10816.6787109375,10815.2705078125,10815.001953125,10820.2998046875,10828.546875,10819.62890625,10821.1044921875,10822.712890625
10825.328125,10829.8212890625,10820.43359375,10809.50390625,10819.7626953125,10819.9638671875,10810.912109375,10816.9462890625
-1094.0059814453125,-1055.1810302734375,-1080.5279541015625,-1065.4404296875,-1045.8603515625,-1078.3150634765625,-1087.099365234375,-1071.14013671875
-1057.393798828125,-1050.6212158203125,-1073.6212158203125,-1072.8165283203125,-1098.6328125,-1112.3121337890625,-1108.489990234375,-1098.7669677734375
18512.00390625,18514.88671875,18514.619140625,18531.181640625,18540.970703125,18524.474609375,18523.267578125,18534.6015625
18546.06640625,18536.27734375,18529.83984375,18527.626953125,18539.294921875,18529.90625,18522.59765625,18531.91796875
24131.365234375,24130.560546875,24125.12890625,24137.6015625,24146.98828125,24134.583984375,24130.29296875,24133.712890625
24145.111328125,24147.2578125,24141.22265625,24132.83984375,24149,24144.708984375,24133.109375,24134.986328125
23627.78125,23629.189453125,23625.3671875,23641.99609375,23654.6015625,23642.666015625,23634.888671875,23640.72265625
23652.12109375,23652.658203125,23642.3984375,23627.78125,23644.74609375,23642.197265625,23629.591796875,23633.009765625
19266.173828125,19271.26953125,19279.650390625,19283.80859375,19272.611328125,19283.80859375,19287.228515625,19279.78515625
19265.033203125,19267.916015625,19279.78515625,19285.150390625,19279.583984375,19281.931640625,19303.052734375,19299.1640625
-407.9639892578125,-408.0310363769531,-365.9203796386719,-392.8765563964844,-411.3167419433594,-384.1593933105469,-367.7308654785156,-377.5209045410156
-405.4158935546875,-413.9319152832031,-403.0689697265625,-381.6112976074219,-385.29931640625,-359.75128173828125,-335.14202880859375,-364.2439880371094
-13985.1044921875,-13915.2333984375,-13838.9248046875,-13894.0439453125,-13997.7109375,-13954.259765625,-13882.7119140625,-13902.626953125
-13980.6123046875,-13919.390625,-13782.12890625,-13744.7119140625,-13833.8955078125,-13857.3642578125,-13760.134765625,-13737.4033203125
10816.6787109375,10812.9228515625,10815.0693359375,10823.115234375,10816.41015625,10822.244140625,10818.9580078125,10809.97265625
10806.6875,10809.6376953125,10813.794921875,10817.8857421875,10819.2939453125,10824.5908203125,10834.7158203125,10825.9990234375
-1117.9447021484375,-1127.6007080078125,-1084.685302734375,-1144.163330078125,-1133.70263671875,-1114.8602294921875,-1096.822265625,-1125.3878173828125
-1156.50146484375,-1171.7230224609375,-1144.90087890625,-1116.7376708984375,-1145.7725830078125,-1060.74658203125,-1030.37060546875,-1082.6065673828125
18530.041015625,18535.0703125,18536.947265625,18541.775390625,18542.71484375,18559.61328125,18559.814453125,18568.53125
18561.154296875,18556.998046875,18551.767578125,18562.16015625,18581.13671875,18597.56640625,18608.8984375,18579.796875
24131.701171875,24130.896484375,24134.115234375,24132.37109375,24123.720703125,24133.109375,24128.146484375,24122.71484375
24114.333984375,24115.80859375,24109.70703125,24111.44921875,24118.826171875,24133.2421875,24147.525390625,24124.861328125
23634.8203125,23633.814453125,23641.52734375,23640.521484375,23629.994140625,23644.0078125,23643.470703125,23637.50390625
23635.22265625,23642.46484375,23638.509765625,23644.41015625,23650.109375,23661.7109375,23675.58984375,23655.607421875
19291.05078125,19271.134765625,19271.001953125,19285.75390625,19282.1328125,19280.791015625,19291.990234375,19282.53515625
19280.58984375,19276.5,19277.7734375,19285.08203125,19289.10546875,19283.7421875,19280.12109375,19278.779296875
-386.1710510253906,-404.0747985839844,-382.2818298339844,-366.859130859375,-387.847412109375,-388.98736572265625,-361.4947204589844,-374.90576171875
-398.7774353027344,-408.50042724609375,-400.0514831542969,-377.3868103027344,-381.2760009765625,-382.2818298339844,-396.2293395996094,-387.3780517578125
-13797.5517578125,-13872.51953125,-13799.697265625,-13724.662109375,-13791.1142578125,-13865.4111328125,-13795.0029296875,-13719.23046875
-13725.9365234375,-13806.73828125,-13772.2041015625,-13630.7177734375,-13561.5166015625,-13656.400390625,-13735.8603515625,-13690.7998046875
10821.640625,10810.8447265625,10804.943359375,10810.0400390625,10813.7275390625,10819.7626953125,10828.8828125,10805.48046875
10801.9931640625,10810.173828125,10811.6494140625,10810.8447265625,10805.14453125,10807.8271484375,10806.2177734375,10797.0986328125
-1154.0875244140625,-1198.4110107421875,-1123.778564453125,-1112.8485107421875,-1164.2799072265625,-1156.9708251953125,-1118.212890625,-1084.35009765625
-1125.11962890625,-1165.553955078125,-1158.1778564453125,-1094.274169921875,-1095.2130126953125,-1110.769775390625,-1132.763916015625,-1089.0439453125
18576.578125,18576.98046875,18572.21875,18579.998046875,18582.076171875,18598.705078125,18604.13671875,18583.55078125
18579.86328125,18595.6875,18606.283203125,18607.087890625,18605.544921875,18611.3125,18617.48046875,18609.568359375
24117.8203125,24109.83984375,24105.615234375,24113.4609375,24115.541015625,24133.578125,24146.1171875,24122.37890625
24121.5078125,24131.90234375,24139.947265625,24136.05859375,24129.419921875,24133.310546875,24142.09375,24133.17578125
23651.451171875,23643.404296875,23635.4921875,23639.58203125,23640.72265625,23651.65234375,23659.498046875,23634.083984375
23629.591796875,23640.38671875,23648.09765625,23648.634765625,23643.068359375,23641.59375,23644.74609375,23634.619140625
19287.02734375,19279.919921875,19274.48828125,19272.611328125,19287.162109375,19293.80078125,19297.0859375,19288.63671875
19285.015625,19270.197265625,19257.5234375,19252.2265625,19273.013671875,19279.44921875,19272.41015625,19278.376953125
-378.7279052734375,-404.0747985839844,-415.1388854980469,-405.1476745605469,-393.21185302734375,-384.96405029296875,-389.85906982421875,-385.4334411621094
-397.7716064453125,-412.1884765625,-430.09222412109375,-426.4712219238281,-379.0632019042969,-370.0777893066406,-393.4800720214844,-384.4276123046875
-13704.27734375,-13823.3671875,-13935.0146484375,-13894.78125,-13837.7177734375,-13879.0234375,-13962.0380859375,-13953.7900390625
-13890.35546875,-13906.1806640625,-14001.935546875,-13979.0703125,-13880.23046875,-13878.822265625,-13986.5126953125,-14041.1630859375
10803.267578125,10798.9755859375,10797.7685546875,10793.7451171875,10805.2119140625,10817.3486328125,10831.69921875,10822.1103515625
10810.173828125,10793.0751953125,10788.0458984375,10785.564453125,10795.0869140625,10798.640625,10795.1533203125,10807.08984375
-1065.8427734375,-1101.180908203125,-1145.2362060546875,-1128.3382568359375,-1101.583251953125,-1101.1138916015625,-1169.845458984375,-1132.6297607421875
-1119.9564208984375,-1133.6356201171875,-1116.8048095703125,-1112.91552734375,-1080.3267822265625,-1083.74658203125,-1132.2275390625,-1098.833984375
18615.3359375,18598.705078125,18602.05859375,18600.986328125,18608.697265625,18618.353515625,18642.693359375,18648.794921875
18623.515625,18598.236328125,18598.1015625,18601.052734375,18614.1953125,18613.859375,18613.927734375,18632.568359375
24132.103515625,24121.57421875,24129.890625,24134.115234375,24142.49609375,24154.09765625,24174.28125,24173.341796875
24150.4765625,24123.1171875,24118.154296875,24117.484375,24133.2421875,24134.44921875,24130.560546875,24148.53125
23635.693359375,23626.9765625,23630.462890625,23628.115234375,23635.08984375,23644.611328125,23662.716796875,23658.423828125
23630.6640625,23602.298828125,23595.99609375,23597.470703125,23609.810546875,23606.658203125,23597.60546875,23611.083984375
19283.673828125,19285.8203125,19296.34765625,19290.3125,19282.66796875,19275.29296875,19274.95703125,19263.357421875
19267.71484375,19279.78515625,19278.04296875,19264.294921875,19265.501953125,19276.43359375,19277.037109375,19264.09375
-379.1972961425781,-349.9612121582031,-348.2177734375,-375.5763244628906,-400.7890930175781,-401.6607971191406,-402.0631408691406,-410.5120849609375
-407.09228515625,-409.5062561035156,-395.75994873046875,-403.1360168457031,-410.2438659667969,-403.2701110839844,-393.345947265625,-412.52374267578125
-13971.7607421875,-13935.1484375,-14013.603515625,-14106.408203125,-14053.568359375,-13980.74609375,-13990.6708984375,-14090.7841796875
-14064.431640625,-13974.7109375,-13940.982421875,-14023.9970703125,-14043.107421875,-13935.1484375,-13912.55078125,-14001.8017578125
10804.072265625,10798.841796875,10817.7509765625,10820.7685546875,10811.11328125,10796.7626953125,10797.03125,10794.6171875
