CP3,C3,F5,PO3,PO4,F6,C4,CP4
553.0621251843936,-79.04341272881426,-65.76725751630752,456.7224407353806,-93.49936888932568,-24.741171984471336,-55.238312986401816,-79.15396666694005
644.5795749725398,-85.86218072324613,-50.65914269248169,540.2617199162868,-112.02409174414981,-51.89218912930313,-67.09731377797132,-107.36577466781247
708.0225040240757,-69.47186246396129,-19.40724086630836,585.0607831519836,-100.57440598795765,-31.453578636914628,-41.92756453779686,-91.79037063944429
730.7560435101116,-43.563380632624416,17.15011803538458,591.434255047991,-75.23914366117143,16.98265625501198,-1.18674292989828,-52.826883629877514
721.2948164720146,-20.739860610692222,48.832916309273216,574.3282031545598,-52.327504641958974,59.353501308474264,31.30204951176841,-17.35001692692861
691.893363315158,-7.9248533266388295,67.52077694996386,545.7683958960725,-40.43669518765314,72.90964533634775,43.741144106711076,-0.9391181500061911
641.9808841003702,-6.344407605622722,69.7136431440844,501.68560257019374,-39.22786537079213,59.378815496808684,39.4553259838638,-2.524476854371507
561.1523577194127,-10.324466684307565,58.418902613258226,427.13545304423894,-38.162136013692134,37.67223293300421,31.042763464683244,-9.09290661866721
449.2732846367752,-14.299031811417837,38.52701717470481,322.9695803443749,-28.655323927069865,23.16216638515755,25.745511282909877,-10.10090692838499
321.04913119096113,-17.655870241636176,14.529268308037846,209.9334211700723,-13.356637226278256,19.040487713952043,22.17259767250304,-3.3769078008415603
189.47173368640665,-17.467256313597584,-8.947842100500292,100.73763302871038,4.932325408084278,23.686818137815287,21.472997445566243,12.265380712442719
51.38344673289561,-5.757044111469185,-31.30467869368369,-15.960568131963583,31.176556532217415,38.00435772194168,31.807288525759624,41.63007248083966
-109.4539624031703,19.990489348492698,-58.64203578659149,-161.5265423205839,66.57828188773628,63.5053223427338,57.96363819788035,86.33190798107827
-303.3458408081793,51.65354695429121,-96.08672947475095,-343.28923524909294,101.99146323695302,96.49599070265663,92.52125023096468,137.01970026813112
-508.85223461855,76.03614552727997,-138.76348217824403,-532.2230099369261,124.74192140999394,122.84071635170375,116.9069552481093,173.01391088607505
-680.5557126486055,85.17513993690272,-172.82246351423726,-677.9720307432958,128.26969874167935,129.34983131277943,117.05786321487187,178.5558929016854
-792.9150476834234,84.64030865288424,-184.47889413616352,-757.9898811970845,119.79968441915531,121.77464211355537,99.68866352756721,160.1596473471078
-859.1750269399251,89.63302066735494,-169.42784383116822,-795.9111758314738,117.42165789033905,120.15848051810057,87.2179688713795,141.33714489196927
-905.5674378239453,106.50233631696295,-137.40856509516053,-825.7690488552144,129.22933619075206,136.00370279992646,93.53721016342661,138.3326270031727
-954.0012774442462,128.0059454752452,-104.1662984017476,-869.1047555601698,147.05640279847546,167.46740788670078,116.78101728502007,152.2602726709381
-1020.8183670483431,145.88493193625632,-77.86557788063801,-939.7088311075393,162.21987466566844,209.78195921628014,150.26402413899808,178.44060284760886
-1103.4057356669987,155.88365011005612,-57.50560995754534,-1032.0990400127148,172.34502693182804,254.69724513110566,184.05226100630443,206.95892704573868
-1175.351100294526,154.07994732712223,-42.181524945469945,-1112.9428490835166,173.4859437144131,286.94462040361293,202.6504622966986,221.47936694415722
-1215.5743860953778,142.95864522501978,-33.94125417217991,-1157.1112599160099,165.96766450461502,296.96998557171094,199.68544559438578,215.3754849792843
-1228.0988822932989,133.49471180325995,-33.94410429972332,-1171.4872791705343,159.83300924507148,289.804811984274,185.47992128731335,199.02475804871654
-1219.5461153932365,131.25376096847353,-41.393569898837015,-1165.6899029028555,158.60868408886358,274.15751501345756,170.57692894231624,182.9173195458675
