label,metric,probability,timestamp
focus,awareness,0,1697485850951
focus,awareness,0,1697485851901
focus,awareness,0.4213469888111426,1697485852869
focus,awareness,0.32040604778491494,1697485853872
focus,awareness,0.3411224473687179,1697485854874
focus,awareness,0.2966801753801952,1697485855766
focus,awareness,0.33781523162007904,1697485856770
focus,awareness,0.45591677437682215,1697485857777
focus,awareness,0.29531134860262226,1697485858768
focus,awareness,0.37450316823030866,1697485859766
focus,awareness,0.5112409162446165,1697485860661
focus,awareness,0.4552607519889735,1697485861666
focus,awareness,0.38018061469828446,1697485862745
focus,awareness,0.3334080539730996,1697485863678
focus,awareness,0.24339880887035187,1697485864663
focus,awareness,0.4884489891879922,1697485865558
focus,awareness,0.5398986468422319,1697485866562
focus,awareness,0.44442628422725117,1697485867629
focus,awareness,0.4848013670550517,1697485868570
focus,awareness,0.02152763319498978,1697485869543
focus,awareness,0.33850980685954113,1697485870553
focus,awareness,0.1562850437919305,1697485871455
focus,awareness,0.12079637658650969,1697485872459
focus,awareness,0.33990151426053805,1697485873416
focus,awareness,0.48234796417521597,1697485874414
focus,awareness,0.4151678630030545,1697485875413
focus,awareness,0.3848835522086211,1697485876313
focus,awareness,0.47330301437610767,1697485877312
focus,awareness,0.019369042966046197,1697485878303
focus,awareness,0,1697485879289
focus,awareness,0.5103362046525324,1697485880292
focus,awareness,0.4383573840085039,1697485881246
focus,awareness,0.5164256494652975,1697485882204
focus,awareness,0.4209668228179168,1697485883177
focus,awareness,0.23257378493671005,1697485884165
focus,awareness,0.08393156025706149,1697485885163
focus,awareness,0.25572464428425223,1697485886201
focus,awareness,0.5791720591587782,1697485887052
focus,awareness,0.1652178303072248,1697485888093
focus,awareness,0.29901230286898406,1697485889041
focus,awareness,0.48651239258623813,1697485890036
focus,awareness,0.4990817714428935,1697485891037
focus,awareness,0.4148644477049744,1697485892034
focus,awareness,0.4100105235288768,1697485892965
focus,awareness,0.23196801000693623,1697485893930
focus,awareness,0.03728306815798419,1697485894914
focus,awareness,0,1697485895917
focus,awareness,0,1697485896809
focus,awareness,0,1697485897846
focus,awareness,0.22842297979426657,1697485898812
focus,awareness,0.21560623178468113,1697485899790
focus,awareness,0.2102633887525439,1697485900805
focus,awareness,0.37203778155624556,1697485901793
focus,awareness,0.4548577580852663,1697485902711
focus,awareness,0.5595632540201627,1697485903681
focus,awareness,0.13822546360057267,1697485904668
focus,awareness,0.09988693764367325,1697485905665
