CP3,C3,F5,PO3,PO4,F6,C4,CP4
-16965.375,-16934.931640625,-17151.98828125,-17209.857421875,-16956.791015625,-16918.435546875,-17058.849609375,-17241.57421875
-16984.685546875,-16938.685546875,-16978.181640625,-17224.9453125,-17045.03515625,-16948.275390625,-16942.77734375,-17212.80859375
-745.6541137695312,-121.36995697021484,-152.75180053710938,-769.1234130859375,-929.1171875,-221.28224182128906,-84.89191436767578,-550.7916259765625
-1029.4317626953125,-372.357666015625,-81.94148254394531,-370.8824462890625,-1025.1402587890625,-560.6487426757812,-78.25344848632812,-256.95562744140625
-871.44970703125,56.728721618652344,56.862831115722656,-841.0066528320312,-1161.262451171875,-60.95320129394531,141.1512451171875,-480.5848083496094
-1279.8160400390625,-313.55023193359375,113.18922424316406,-240.527099609375,-1266.0697021484375,-587.4708251953125,141.41946411132812,-67.65872192382812
-2149.723388671875,-532.5526123046875,-56.19227981567383,-1334.3319091796875,-2469.509765625,-904.8432006835938,-71.8832015991211,-765.5695190429688
-2481.378662109375,-1351.296875,-230.80409240722656,-392.6754150390625,-2252.988525390625,-1827.7913818359375,-370.0777893066406,-189.56512451171875
10106.83203125,10401.8076171875,10316.71484375,9912.505859375,9951.1962890625,10447.8076171875,10383.2333984375,10070.890625
9857.5205078125,10343.3359375,10392.62109375,10166.5107421875,9799.6513671875,10254.62109375,10444.7900390625,10229.2744140625
-1142.21875,-227.98776245117188,-192.9849395751953,-1104.1983642578125,-1444.4366455078125,-284.5823669433594,-98.9735107421875,-703.8787231445312
-1509.2119140625,-547.9752807617188,-120.43118286132812,-465.49737548828125,-1523.762939453125,-831.417724609375,-108.294189453125,-329.777587890625
-1393.9439697265625,-1189.0233154296875,-817.6714477539062,-437.6023864746094,-1434.6466064453125,-1214.3701171875,-1111.172119140625,-304.6989440917969
-1308.716796875,-1236.0289306640625,-1284.84521484375,-383.0194396972656,-1024.1343994140625,-1324.273681640625,-1282.3641357421875,-686.1090698242188
-31958.587890625,-31918.755859375,-31850.830078125,-31879.328125,-31945.04296875,-31884.423828125,-31874.634765625,-31873.158203125
-31998.552734375,-31938.939453125,-31939.611328125,-31882.14453125,-31993.5234375,-31898.572265625,-31871.951171875,-31877.3828125
-17127.177734375,-16944.921875,-16922.32421875,-17111.62109375,-17201.341796875,-16950.623046875,-16912.1328125,-17021.56640625
-17241.57421875,-17003.328125,-16951.494140625,-16971.140625,-17247.87890625,-17051.7421875,-16932.048828125,-16972.75
-917.181396484375,-797.7560424804688,-154.1599578857422,-139.9442596435547,-697.1731567382812,-949.9713745117188,-274.7252502441406,-84.95896911621094
-493.1241149902344,-1039.55712890625,-439.8152160644531,-73.22430419921875,-309.7951354980469,-981.0850219726562,-637.2928466796875,-96.8947982788086
-1066.5804443359375,-933.8781127929688,63.300132751464844,117.07842254638672,-741.563720703125,-1195.3935546875,-94.81608581542969,178.83628845214844
-387.2439270019531,-1286.387451171875,-359.0807189941406,177.0928497314453,-110.70817565917969,-1170.3819580078125,-682.4210205078125,113.12216186523438
-1786.9547119140625,-2266.399658203125,-641.316162109375,-79.9298324584961,-1179.434326171875,-2483.457275390625,-1020.9828491210938,-96.49246978759766
-639.37158203125,-2450.130859375,-1481.384033203125,-242.33758544921875,-292.696044921875,-2116.39697265625,-1956.738525390625,-449.6723327636719
9837.404296875,10080.009765625,10447.337890625,10357.283203125,9938.9921875,9916.529296875,10416.0234375,10380.88671875
